"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_exclude_pattern_matching","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_control","",""
"","0","test_write_dashboard","tests.unit","2026-09-03","passed","2026-09-03","","test_dashboard","",""
"","0","test_no_screenshot_returns_none","tests.unit","2026-09-03","passed","2026-09-03","","test_visual_llm","",""
"V5 复核：旧库历史重复行在建唯一索引前清除（repairs 同键、popups 同签名）。","11","test_legacy_duplicate_rows_deduped_on_migrate","tests.unit","2026-09-03","passed","2026-09-03","","test_knowledge_sqlite","",""
"#11：bool 是 int 子类，模型返回 true 不应被当作 1.0 穿透护栏。","0","test_safe_float_rejects_bool","tests.unit","2026-09-03","passed","2026-09-03","","test_llm_io","",""
"","0","test_non_timeout_raises","tests.unit","2026-09-03","passed","2026-09-03","","test_wrapped_healing","",""
"","0","test_estimate_cost_defaults","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"","1","test_counting_client_increments_stats","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"VLM 补 close() 后，orchestrator.close() 的 _safe_close 不再是静默 no-op。","0","test_vlm_close_releases_underlying_client","tests.unit","2026-09-03","passed","2026-09-03","","test_review_hardening","",""
"自愈后的选择器仍超时 → 二次自愈（use_knowledge=False），且最多两次。","1","test_secondary_healing_bounded","tests.unit","2026-09-03","passed","2026-09-03","","test_wrapped_healing","",""
"既无原生也无 DOM 快照 → 空列表（不炸）。","0","test_interactive_candidates_empty_without_dom","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"畸形 HTML（span 未闭合就结束 button）：endtag 不匹配时忽略，不弹错层。","0","test_mismatched_endtag_ignored","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_parser","",""
"按策略 early_accept 抬高到 0.99：0.95 未达 → 不短路，继续 semantic（策略阈值生效）。","0","test_best_candidate_short_circuit_respects_per_strategy","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"","0","test_heal_and_retry","tests.unit","2026-09-03","passed","2026-09-03","","test_wrapped_healing","",""
"","1","test_guard_rejects_fabricated_selector","tests.unit","2026-09-03","passed","2026-09-03","","test_semantic_llm","",""
"","0","test_is_locator_like","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","1","test_shards_merge_records_and_sum_stats","tests.unit","2026-09-03","passed","2026-09-03","","test_xdist_compat","",""
"","0","test_estimate_cost_custom_unit_cost","tests.unit","2026-09-03","passed","2026-09-03","","test_risk_metrics","",""
"","30186","test_fallback_when_unhealable","tests.e2e","2026-09-03","passed","2026-09-03","","test_healing_flow","",""
"","0","test_user_description_preserved","tests.unit","2026-09-03","passed","2026-09-03","","test_chain_healing","",""
"","0","test_stable_selector_none_without_any_hint","tests.unit","2026-09-03","passed","2026-09-03","","test_popup_guard","",""
"C7：置信度落在 [threshold, llm_diagnose_threshold) → 补 LLM 归因，丰富审计。","1","test_low_confidence_success_triggers_llm_diagnosis","tests.unit","2026-09-03","passed","2026-09-03","","test_diagnosis_reorder","",""
"","0","test_heal_and_resolve_passes_use_knowledge","tests.unit","2026-09-03","passed","2026-09-03","","test_secondary_healing","",""
"","0","test_reporter_record_attaches_verified_semantics","tests.unit","2026-09-03","passed","2026-09-03","","test_allure_bridge","",""
"审查 C1：浏览器序列化风格（void 无斜杠）下，input 不应吸收后续元素文本。","0","test_void_element_does_not_pollute_following_text","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_parser","",""
"两来源候选完全一致（稳定定位器对齐）→ consistent，无单侧缺失。","0","test_cross_validate_consistent_when_same","tests.unit","2026-09-03","passed","2026-09-03","","test_dom_native_check","",""
"shrink 开启：semantic_llm 自报保守收缩（raw²）；其他标尺不受影响（防双重惩罚）。","0","test_shrink_applies_only_to_semantic_llm_when_enabled","tests.unit","2026-09-03","passed","2026-09-03","","test_confidence_normalize","",""
"","0","test_fail_when_uncertain_and_no_fallback","tests.unit","2026-09-03","passed","2026-09-03","","test_resolve_fallback","",""
